timestamp(ms),Mag_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,
"75.507","-38181.222656","-0.551006","-0.782772","-0.189973","38984.691406","-50655.699219",
"75.558","-38063.78125","-0.582981","-0.865751","-0.039968","38940.878906","-50655.699219",
"75.609","-25732.15625","-0.576792","-0.899338","0.006415","38196.074219","-50915.082031",
"75.66","-25732.15625","-0.597421","-0.765978","0.076483","38196.074219","-50915.082031",
"75.711","-18450.632812","-0.569572","-0.749185","0.15938","39247.5625","-50915.082031",
"75.762","-18333.1875","-0.556163","-0.788699","0.154446","39203.75","-50871.851562",
"75.813","-5296.90625","-0.553069","-0.798577","0.237343","37933.203125","-49618.179688",
"75.864","-5296.90625","-0.529345","-0.779808","0.297543","37889.390625","-49574.949219",
"75.915","-834.03125","-0.508716","-0.825249","0.332083","37407.460938","-49099.421875",
"75.966","-834.03125","-0.473646","-0.754124","0.386361","37363.648438","-49056.191406",
"76.018","3511.398438","-0.495307","-0.845994","0.421889","36662.65625","-48105.132812",
"76.069","3511.398438","-0.534502","-0.841055","0.462351","36618.84375","-48061.902344",
"76.12","7974.265625","-0.494275","-0.620765","0.471233","35348.296875","-48061.902344",
"76.17","7974.265625","-0.517999","-0.750173","0.579789","35348.296875","-48018.671875",
